_Eihop,_P0,hops,d,_R,_Nb
0.266,0.144,1,135,250,90
0.583,0.212,2,67,250,90
0.129,0.100,1,135,250,90
0.39,0.57,2,67,250,90
0.32,0.50,2,67,250,90
0.324,0.158,1,135,250,90
0.324,0.158,1,135,250,90
1.202,0.306,2,67,250,90
0.28,0.46,1,135,250,90
0.450,0.187,2,67,250,90
0.219,0.129,1,135,250,90
0.835,0.255,2,67,250,90
1.346,0.324,1,135,250,90
1.591,0.352,2,67,250,90
0.806,0.252,1,135,250,90
0.64,0.72,1,135,250,90
1.314,0.320,2,67,250,90
0.79,0.79,1,135,250,90
1.558,0.349,2,67,250,90
0.28,0.46,1,135,250,90
1.375,0.327,2,67,250,90
0.172,0.115,2,67,250,90
0.680,0.230,1,135,250,90
0.86,0.82,1,135,250,90
0.129,0.100,2,67,250,90
0.72,0.75,2,67,250,90
0.615,0.219,1,135,250,90
0.446,0.187,1,135,250,90
1.594,0.352,2,67,250,90
0.698,0.234,1,135,250,90
0.482,0.194,2,67,250,90
0.136,0.104,1,135,250,90
1.828,0.378,2,67,250,90
0.21,0.43,2,67,250,90
1.926,0.388,1,135,250,90
0.216,0.129,2,67,250,90
1.598,0.352,1,135,250,90
0.61,0.68,1,135,250,90
0.784,0.248,2,67,250,90
0.140,0.104,1,135,250,90
0.79,0.79,2,67,250,90
0.10,0.28,2,67,250,90
1.792,0.374,1,135,250,90
1.141,0.298,2,67,250,90
1.623,0.356,1,135,250,90
0.21,0.43,1,135,250,90
1.317,0.320,2,67,250,90
0.295,0.151,2,67,250,90
0.766,0.244,1,135,250,90
1.371,0.327,1,135,250,90
0.32,0.50,1,135,250,90
